,Name,Year,Ratings,Votes,Genres,Directors,Actors,Information
0,Extraction,(2020),6.7,"142,071","Action, Thriller",Sam Hargrave,"['Chris Hemsworth', 'Bryon Lerum', 'Ryder Lerum', 'Rudhraksh Jaiswal']","Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord."
1,Spenser Confidential,(2020),6.2,"61,503","Action, Comedy, Crime",Peter Berg,"['Mark Wahlberg', 'Winston Duke', 'Alan Arkin', 'Iliza Shlesinger']","When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate, Hawk, to take down criminals."
2,Eurovision Song Contest: The Story of Fire Saga,(2020),6.5,"62,774","Comedy, Music",David Dobkin,"['Will Ferrell', 'Rachel McAdams', 'Dan Stevens', 'Mikael Persbrandt']","When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for."
3,The Outsider,(2020– ),7.8,"53,705","Crime, Drama, Fantasy",Ben Mendelsohn,"['Bill Camp', 'Jeremy Bobb', 'Mare Winningham']",Investigators are confounded over an unspeakable crime that's been committed.
4,The Hunt,(II) (2020),6.5,"53,209","Action, Horror, Thriller",Craig Zobel,"['Betty Gilpin', 'Hilary Swank', 'Ike Barinholtz', 'Wayne Duvall']","Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt."
5,Dil Bechara,(2020),8.8,"101,998","Comedy, Drama, Romance",Mukesh Chhabra,"['Sushant Singh Rajput', 'Sanjana Sanghi', 'Sahil Vaid', 'Saswata Chatterjee']","The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group."
6,Sadak 2,(2020),1.0,"54,529","Action, Drama",Mahesh Bhatt,"['Priyanka Bose', 'Alia Bhatt', 'Pooja Bhatt', 'Sanjay Dutt']","The film picks up where Sadak left off, revolving around the journey with a young girl who becomes an important character in the life of the protagonist, and the reason for him to stay alive."
7,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,(2020),6.1,"138,341","Action, Adventure, Crime",Cathy Yan,"['Margot Robbie', 'Rosie Perez', 'Mary Elizabeth Winstead', 'Jurnee Smollett']","After splitting with the Joker, Harley Quinn joins superheroes Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord."
8,The Old Guard,(2020),6.7,"99,503","Action, Adventure, Fantasy",Gina Prince-Bythewood,"['Charlize Theron', 'KiKi Layne', 'Matthias Schoenaerts', 'Marwan Kenzari']",A covert team of immortal mercenaries are suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.
9,Onward,(I) (2020),7.4,"77,412","Animation, Adventure, Comedy",Dan Scanlon,"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer']",Two elven brothers embark on a quest to bring their father back for one day.
10,Tenet,(2020),7.9,"75,736","Action, Sci-Fi",Christopher Nolan,"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Aaron Taylor-Johnson']","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time."
11,Sonic the Hedgehog,(2020),6.5,"74,985","Action, Adventure, Comedy",Jeff Fowler,"['Ben Schwartz', 'James Marsden', 'Jim Carrey', 'Tika Sumpter']","After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him."
12,Bloodshot,(2020),5.7,"50,000","Action, Drama, Sci-Fi",Dave Wilson,"['Vin Diesel', 'Eiza González', 'Sam Heughan', 'Toby Kebbell']","Ray Garrison, a slain soldier, is re-animated with superpowers."
13,Bad Boys for Life,(2020),6.6,"112,066","Action, Comedy, Crime",Adil El Arbi,"['Bilall Fallah', 'Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig']",Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.
14,The Invisible Man,(I) (2020),7.1,"130,410","Horror, Mystery, Sci-Fi",Leigh Whannell,"['Elisabeth Moss', 'Oliver Jackson-Cohen', 'Harriet Dyer', 'Aldis Hodge']","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see."
15,"Love, Death & Robots",(2019– ),8.5,"88,752","Animation, Short, Comedy",Scott Whyte,"['Nolan North', 'Matthew Yang King', 'Chris Cox']","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
16,El Camino: A Breaking Bad Movie,(2019),7.3,"172,430","Action, Crime, Drama",Vince Gilligan,"['Aaron Paul', 'Jonathan Banks', 'Matt Jones', 'Charles Baker']","Fugitive Jesse Pinkman runs from his captors, the law and his past."
